sector,mean_ratio,min_ratio,max_ratio,std_ratio
Private,0.43683419823645914,0.39445429931845766,0.49149214659685864,0.039946619009073
Public,0.31693300927018214,0.29195238095238096,0.3462556079604279,0.02015273519547059
Inactive,0.12081513367464425,0.10439373297002724,0.14679231605654222,0.011799065602539
