profession,total_count,mean_count,std_count,n_sectors
Nurse,469457,3725.8492063492063,4949.844240082648,3
Doctor,149003,1910.2948717948718,1467.6989155567996,3
Pharmacist,32349,770.2142857142857,482.1595999157756,3
