sector,total_workforce,mean_count,std_count,min_count,max_count,n_years
Public,385621,4702.695121951219,5527.011419102506,43,21373,14
Private,183681,2240.012195121951,2144.8817659658766,29,8943,14
Inactive,81507,993.9878048780488,1332.224525008689,32,4439,14
