profession,model_type,mape,mae,rmse
doctors,arima,2.301451134252554,322.0979187319608,366.39670398007684
doctors,linear,2.253797886265331,314.73030303030583,346.83985432106317
nurses,arima,2.9748580986853246,1259.5260580468773,1367.4372336453494
nurses,linear,8.608396669392356,3639.6727272727294,3817.836558617926
pharmacists,arima,7.729157603821633,254.36371012949,283.6228332519207
pharmacists,linear,2.0481501574735894,66.78484848484793,69.81954879501384
physiotherapists,arima,12.262767788160932,240.66666902573243,256.02474059923344
physiotherapists,linear,3.047321823449539,60.166666666666366,74.94720363918387
